0,417,0
200,216,0
401,144,0
601,105,0
801,82,0
1002,71,0
1203,63,0
1403,59,0
1604,51,0
1805,60,0
2006,89,0
2206,73,0
2406,64,0
2607,55,0
2807,45,0
3008,11,0
3209,56,0
3409,78,0
3610,25,0
3811,38,1
4012,50,0
4211,55,0
4412,57,0
4613,74,27
4813,91,47
5014,102,64
5215,118,86
5415,130,98
5616,137,110
5817,145,120
6018,155,132
6218,164,140
6419,169,145
6620,178,163
6820,186,164
7021,188,170
7222,198,185
7422,208,197
7623,217,206
7824,226,216
8025,236,227
8225,244,237
8426,260,260
8627,277,281
8828,293,299
9029,309,314
9230,320,328
9431,332,340
9631,342,352
9832,352,362
10033,364,376
10233,375,388
10434,385,401
10635,403,422
10835,416,433
11036,431,446
11237,438,452
11438,446,462
11638,457,475
11839,467,487
12040,481,497
12240,486,504
12441,495,515
12642,501,518
12844,508,518
13044,519,518
13245,501,518
13446,493,519
13646,491,518
13847,506,518
14048,498,518
14248,510,517
14449,510,517
14650,496,517
14851,504,517
15051,509,517
15252,489,519
15453,501,537
15653,536,563
15855,553,584
16056,575,602
16257,599,626
16457,626,660
16658,643,689
16859,677,721
17059,704,744
17260,728,773
17461,742,802
17661,765,830
17862,795,856
18063,816,878
18264,822,900
18464,849,926
18665,877,951
18867,906,973
19067,933,999
19268,944,1020
19469,977,1023
19670,982,1023
19870,982,1023
20071,989,1023
20272,987,1023
20472,977,1022
20673,993,1023
20875,994,1023
21075,992,1023
21276,994,1023
21477,957,1023
21678,949,1023
21878,968,1023
22079,984,1023
22280,993,1021
22480,970,968
22682,944,929
22883,917,903
23084,891,883
23284,867,854
23485,835,821
23686,800,787
23886,763,754
24087,731,729
24288,701,692
24488,664,643
24689,626,598
24890,595,567
25091,568,545
25291,544,523
25492,527,508
25694,505,484
25894,478,455
26095,454,431
26296,433,412
26497,415,394
26697,396,370
26898,373,349
27099,356,334
27299,340,319
27500,330,306
27701,334,305
27901,304,306
28102,287,303
28303,283,264
28504,258,214
28705,226,174
28906,196,139
29107,167,96
29307,123,31
29508,89,0
29709,75,0
29910,69,0
30109,63,0
30310,90,0
30511,84,0
30711,69,0
30912,51,0
31113,28,0
31313,34,0
31514,38,0
31715,39,0
31916,42,0
32116,44,0
32317,45,0
32518,46,0
32718,48,0
32919,51,0
33119,53,0
33319,54,0
33520,55,0
33721,54,0
33922,54,0
34122,54,0
34323,55,0
34524,54,0
34724,53,0
34925,53,0
35126,50,0
35326,52,0
35527,51,0
35728,51,0
35929,51,0
