0,137,137.00
5,137,137.00
11,137,137.00
17,137,137.00
22,138,137.10
28,138,137.19
34,134,136.87
45,139,137.08
60,138,137.18
75,138,137.26
91,138,137.33
106,137,137.30
123,137,137.27
140,139,137.44
156,137,137.40
173,137,137.36
190,138,137.42
206,137,137.38
223,137,137.34
239,137,137.31
257,138,137.38
273,136,137.24
289,138,137.32
306,137,137.28
323,135,137.06
339,137,137.05
356,136,136.94
372,137,136.95
390,136,136.86
406,139,137.07
422,139,137.26
439,137,137.24
456,136,137.11
473,137,137.10
489,136,136.99
505,138,137.09
523,137,137.08
539,134,136.77
556,137,136.80
572,138,136.92
589,138,137.03
606,140,137.32
622,137,137.29
638,139,137.46
656,138,137.52
672,138,137.56
689,137,137.51
705,136,137.36
722,139,137.52
739,137,137.47
755,138,137.52
772,136,137.37
789,136,137.23
805,138,137.31
822,136,137.18
838,138,137.26
856,140,137.53
872,139,137.68
888,139,137.81
905,137,137.73
922,136,137.56
939,138,137.60
955,137,137.54
971,136,137.39
989,139,137.55
1005,138,137.59
1022,138,137.64
1040,136,137.47
1058,143,138.02
1076,137,137.92
1093,139,138.03
1112,139,138.13
1129,138,138.11
1146,139,138.20
1164,136,137.98
1182,140,138.18
1200,141,138.47
1217,139,138.52
1234,138,138.47
1253,138,138.42
1270,139,138.48
1288,137,138.33
1305,138,138.30
1324,137,138.17
1341,141,138.45
1358,138,138.41
1377,140,138.57
1394,140,138.71
1412,140,138.84
1429,140,138.95
1447,138,138.86
1465,136,138.57
1482,136,138.32
1500,139,138.38
1518,139,138.45
1536,140,138.60
1553,139,138.64
1570,139,138.68
1589,139,138.71
1606,140,138.84
1624,141,139.05
1642,139,139.05
1659,140,139.14
1677,140,139.23
1694,141,139.41
1713,140,139.47
1730,140,139.52
1747,138,139.37
1765,140,139.43
1783,140,139.49
1801,139,139.44
1818,139,139.39
1836,140,139.46
1854,139,139.41
1871,137,139.17
1889,139,139.15
1907,142,139.44
1925,141,139.59
1942,140,139.63
1959,139,139.57
1978,142,139.81
1995,140,139.83
2013,137,139.55
2030,138,139.39
2049,137,139.15
2066,142,139.44
2083,139,139.40
2101,142,139.66
2119,140,139.69
2137,141,139.82
2154,138,139.64
2171,138,139.48
2190,140,139.53
2207,144,139.97
2225,139,139.88
2243,140,139.89
2260,139,139.80
2278,141,139.92
2295,140,139.93
2314,141,140.04
2331,142,140.23
2349,142,140.41
2366,140,140.37
2384,140,140.33
2402,141,140.40
2419,141,140.46
2437,139,140.31
2455,142,140.48
2472,139,140.33
2490,143,140.60
2508,142,140.74
2526,141,140.77
2543,141,140.79
2561,142,140.91
2579,140,140.82
2596,144,141.14
2614,144,141.42
2631,140,141.28
2650,140,141.15
2667,141,141.14
2684,140,141.02
2702,143,141.22
2720,142,141.30
2738,139,141.07
2755,140,140.96
2774,141,140.97
2791,140,140.87
2808,144,141.18
2826,141,141.16
2844,142,141.25
2862,144,141.52
2879,138,141.17
2896,142,141.25
2915,141,141.23
2932,139,141.01
2950,143,141.20
2967,139,140.98
2985,142,141.09
3003,142,141.18
3020,146,141.66
3039,143,141.79
3056,141,141.71
3074,141,141.64
3091,141,141.58
3109,141,141.52
3127,141,141.47
3144,144,141.72
3162,145,142.05
3180,139,141.74
3197,141,141.67
3215,141,141.60
3232,141,141.54
3251,141,141.49
3268,139,141.24
3286,141,141.22
3303,142,141.29
3321,140,141.16
3339,142,141.25
3356,143,141.42
3375,142,141.48
3392,141,141.43
3409,144,141.69
3427,145,142.02
3445,143,142.12
3463,146,142.51
3480,139,142.16
3497,143,142.24
3516,142,142.22
3533,142,142.19
3551,142,142.18
3568,141,142.06
3587,142,142.05
3604,140,141.85
3621,139,141.56
3640,141,141.51
3657,141,141.46
3675,144,141.71
3692,143,141.84
3710,142,141.85
3728,144,142.07
3745,144,142.26
3763,142,142.24
3781,140,142.01
3799,144,142.21
3816,142,142.19
3833,142,142.17
3852,141,142.05
3869,139,141.75
3887,144,141.97
3905,141,141.88
3922,143,141.99
3940,141,141.89
3957,142,141.90
3976,139,141.61
3993,141,141.55
4011,149,142.29
4028,142,142.27
4046,140,142.04
4064,143,142.13
4081,142,142.12
4099,142,142.11
4117,142,142.10
4134,143,142.19
4152,144,142.37
4170,143,142.43
4188,141,142.29
4205,142,142.26
4222,142,142.23
4241,143,142.31
4258,141,142.18
4276,143,142.26
4293,145,142.54
4312,142,142.48
4329,141,142.33
4346,142,142.30
4364,142,142.27
4382,142,142.24
4400,142,142.22
4417,139,141.90
4434,140,141.71
4453,143,141.84
4470,142,141.85
4488,141,141.77
4506,142,141.79
4524,143,141.91
4541,141,141.82
4558,144,142.04
4577,142,142.03
4594,140,141.83
