0,656
1000,655
2000,655
3001,655
4001,653
5002,653
6002,649
7003,648
8003,649
9004,646
10004,646
11004,646
12005,646
13005,645
14006,646
15006,646
16007,645
17007,643
18008,645
19008,645
20008,644
21009,643
22009,642
23011,643
24011,643
25012,641
26012,642
27013,642
28013,640
29014,641
30014,641
31014,639
32015,640
33015,638
34016,636
35016,637
36017,636
37017,635
38018,635
39018,634
40019,634
41020,634
42020,633
43021,633
44021,631
45022,631
46022,630
47023,628
48023,627
49024,628
50024,627
51024,627
52025,626
53025,625
54026,624
55026,625
56028,622
57028,622
58029,622
59029,623
60029,621
61030,622
62030,623
63031,623
64031,621
65032,621
66032,620
67033,622
68033,622
69033,620
70034,620
71034,619
72036,620
73036,618
74037,620
75037,620
76038,619
77038,619
78039,619
79039,619
80039,618
81040,617
82040,617
83041,619
84041,617
85042,617
86042,617
87043,618
88044,618
89044,617
90045,617
91045,616
92046,617
93046,616
94047,615
95047,616
96048,617
97048,615
98049,616
99049,615
100049,615
101050,615
102051,616
103052,614
104052,614
105053,614
106053,614
107054,615
108054,614
109054,614
110055,615
111055,613
112057,612
113057,614
114058,614
115058,612
116059,612
117059,613
118060,613
119060,614
120060,613
121062,613
122062,612
123063,612
124063,611
125064,611
126064,612
127065,610
128065,610
129065,609
130067,610
131067,611
132068,609
133068,609
134069,609
135069,609
136070,608
137070,608
138071,609
139071,609
140072,607
141073,608
142073,607
143074,608
144074,606
145075,606
146075,605
147076,605
148076,606
149078,605
150078,604
151078,604
152079,603
153079,603
154080,604
155080,603
156081,604
157081,604
158082,603
159083,603
160083,602
161084,604
162084,601
163085,602
164085,603
165086,602
166086,600
167087,600
168088,601
169089,600
170089,600
171089,600
172090,600
173090,599
174091,599
175091,600
176092,598
177092,599
178094,598
179094,598
180094,597
181095,598
182095,599
183096,598
184096,597
185097,597
186097,597
187099,598
188099,596
189100,597
190100,595
191100,595
192101,595
193101,594
194102,594
195102,594
196103,595
197104,595
198105,597
199105,594
200105,594
201106,595
202106,595
203107,593
204107,594
205108,593
206109,594
207110,592
208110,593
209111,593
